транскрипция;орфография;часть речи;английский перевод;русский перевод
NOM.PL: ukdurme;NOM.PL: укдурме;;;
unc;унц;n;ox (castrated);вол (кастрированный)
NOM.PL: unce;NOM.PL: унце;;;
ur?i;урчи;n;male horse;конь
NOM.PL: ur?ne?;NOM.PL: урчне?;;;
ur?i;урши;n;son, boy;сын, мальчик
NOM.PL: ur?be;NOM.PL: уршбе;;;
waca;ваца;n;mouse;мышь
NOM.PL: wacne;NOM.PL: вацне;;;
??a?rc';ххярцI;n;marten;куница
NOM.PL: ??a?rc'ane, ??a?rc'nube;NOM.PL: ххярцIане, ххярцIнубе;;;
?alq';халкъ;n;crowd;много народу
NOM.PL: ?alq'ane;NOM.PL: халкъане;;;
xunul;хьунул;n;woman, wife;женщина, жена
NOM.PL: xuhe;NOM.PL: хьугье;;;
?ama?t;жамят;n;people;народ
?anawar;жанавар;n;wolf;волк
NOM.PL: ?anawart;NOM.PL: жанаварт;;;
?um;жум;n;goatling (1-3 years old);козленок (1-3 года)
NOM.PL: ?umane;NOM.PL: жумане;;;
gatu;гату;n;cat;кошка (кот)
NOM.PL: gatne;NOM.PL: гатне;;;
buru?;буруш;n;nest;гнездо
NOM.PL: bur?me;NOM.PL: буршме;;;
?eq?a?;чехъвя;n;bird;птица
NOM.PL: ?eq?ne;NOM.PL: чехъвне;;;
?Ii?Ia;чIичIа;n;worm;червь (в т.ч. дождевой)
NOM.PL: ?Ii?Ine;NOM.PL: чIичIне;;;
gan;ган;n;snake;змея
стар. п. ?an;стар. п. гъан;;;
NOM.PL: gune;NOM.PL: гуне;;;
стар. п. NOM.PL: гъуне;стар. п. NOM. PL: гъуне;;;
gegu;гегу;n;cuckoo;кукушка
NOM.PL: geg?ne, gugbe;NOM.PL: гегвне, гугбе;;;
?a?t'a;гIятIа;n;frog;лягушка
NOM.PL: ?a?t'ne;NOM.PL: гIятIне;;;
k'as;кIас;n;fish;рыба
NOM.PL: k'usre;NOM.PL: кIусре;;;
lah?i;лагьви;n;pigeon;голубь
NOM.PL: lah?ne;NOM.PL: лагьвне;;;
lap'lap';лапIлапI;n;eagle;орел
NOM.PL: lap'lap'une;NOM.PL: лапIлапIуне;;;
??ana;гъвана;n;crow;ворона
NOM.PL: ??anube;NOM.PL: гъванубе;;;
?a?bi;гъагъби;n;quяl;куропатка
NOM.PL: ?u?be;NOM.PL: гъугъбе;;;
?ur?ut'ani;шуршутIани;n;lizard;ящерица
NOM.PL: ?ur?ut'une;NOM.PL: шуршутIуне;;;
t'umi;тIуми;n;night predatory bird (owl);ночная хищная птица (филин, сова)
NOM.PL: t'umne;NOM.PL: тIумне;;;
ur?ut'i;урчутIи;n;shallow;ласточка
NOM.PL: ur?ut'une;NOM.PL: урчутIуне;;;
a?bazan;ахбазан;n;apricot;абрикос
NOM.PL: a?bazan(t);NOM.PL: ахбазан(т);;;
bukani ?er?i;букани шерши;n;onion;лук
NOM.PL: bukani ?er?nube;NOM.PL: букани шершнубе;;;
buq'ani ?er?i;букъани шерши;n;garlic;чеснок
NOM.PL: buq'ani ?er?nube;NOM.PL: букъани шершнубе;;;
c'erc';цIерцI;n;dragonfly;стрекоза
NOM.PL: c'urc'be;NOM.PL: цIурцIбе;;;
c'ih?a;цIигьва;n;flea;блоха
NOM.PL: c'ih?ne;NOM.PL: цIигьвне;;;
?'a??a?;чIягIя;n;cane;камыш
NOM.PL: ?'a??obe, ?'a??a?, ?'a??u?be;NOM.PL: чIягIoбе, чIягIя, чIягIуIбе;;;
?'ak'u, ?'ak'ultan;чIакIу, чIакIултан;n;beet-root;свекла
